Id,Label,Weight
范闲,范闲,25480
"监察院院长","监察院院长",2010
五竹,五竹,1427
四顾剑,四顾剑,1197
言冰云,言冰云,1049
太后,太后,1038
"和亲王","和亲王",989
"晨郡主","晨郡主",808
苦荷,苦荷,747
王启年,王启年,727
"司南伯","司南伯",664
"妹妹","妹妹",656
影子,影子,588
王十三郎,王十三郎,567
"皇帝","皇帝",551
贺宗纬,贺宗纬,528
"二皇妃","二皇妃",498
燕小乙,燕小乙,483
"北齐贵妃","北齐贵妃",456
皇后,皇后,455
靖王世子,靖王世子,437
叶流云,叶流云,416
邓子越,邓子越,376
叶重,叶重,365
史阐立,史阐立,361
云之澜,云之澜,324
狼桃,狼桃,287
藤子京,藤子京,265
杨万里,杨万里,262
"生母","生母",260
宜贵嫔,宜贵嫔,229
"宰相","宰相",222
"长公主","长公主",165
苏文茂,苏文茂,147
叶完,叶完,134
郭保坤,郭保坤,124
荆戈,荆戈,123
侯季常,侯季常,122
宁才人,宁才人,120
"三皇子","三皇子",103
"太子","太子",95
"北齐圣女","北齐圣女",83
郭铮,郭铮,81
淑贵妃,淑贵妃,71
洪常青,洪常青,67
成佳林,成佳林,55
郭攸之,郭攸之,49
柔嘉郡主,柔嘉郡主,42
玛索索,玛索索,38
"二皇子","二皇子",31
秦业,秦业,27
"和亲王妃","和亲王妃",24
洪亦青,洪亦青,19
范良,范良,11
"北齐女皇帝","北齐女皇帝",11
"北齐公主","北齐公主",7
"小花","小花",4
"靖王","靖王",2
